Sequence ID:,Length,GC Content
seq243,199,33.66834170854271
seq244,261,56.70498084291188
seq246,188,55.85106382978723
seq247,190,78.94736842105263
seq248,127,47.24409448818898
seq249,114,55.26315789473685
seq250,160,58.75
seq251,292,84.93150684931507
seq252,248,86.29032258064517
seq253,283,80.21201413427562
seq254,288,46.18055555555556
seq255,217,45.622119815668206
seq256,215,40.0
seq257,174,40.229885057471265
seq259,231,37.22943722943723
seq260,300,97.33333333333334
seq261,212,46.69811320754717
seq262,148,15.54054054054054
seq263,202,57.42574257425742
seq264,122,62.295081967213115
seq265,134,69.40298507462687
seq266,229,39.737991266375545
seq267,121,40.49586776859504
seq268,200,76.0
seq269,131,75.57251908396947
seq270,232,17.24137931034483
seq271,230,52.17391304347826
seq272,158,51.89873417721519
seq274,115,8.695652173913043
seq275,222,56.75675675675676
seq277,178,75.84269662921348
seq278,178,89.8876404494382
seq279,229,86.02620087336244
seq283,293,59.044368600682596
seq284,170,36.470588235294116
seq285,259,57.91505791505791
seq286,250,86.4
seq287,166,50.0
seq288,136,32.35294117647059
seq289,127,21.25984251968504
seq290,257,43.190661478599225
seq291,103,45.63106796116505
seq292,287,69.33797909407666
seq293,160,11.875
seq297,280,61.78571428571429
seq299,112,94.64285714285714
seq300,192,93.75
seq301,254,64.96062992125984
seq302,227,66.51982378854625
seq306,175,39.42857142857143
seq308,107,82.2429906542056
seq309,122,83.60655737704919
seq311,149,42.95302013422819
seq312,202,66.83168316831683
seq313,190,28.421052631578945
seq314,130,85.38461538461539
seq315,186,24.731182795698924
seq316,175,41.14285714285714
seq317,253,29.249011857707508
seq320,159,61.0062893081761
seq321,232,46.12068965517241
seq323,125,21.6
seq324,168,21.428571428571427
seq325,128,46.875
seq326,197,20.812182741116754
seq327,273,26.373626373626376
seq331,229,24.890829694323145
seq332,177,60.451977401129945
seq334,282,49.29078014184397
seq335,102,51.9607843137255
seq336,198,30.808080808080806
seq337,216,69.9074074074074
seq338,118,73.72881355932203
seq340,285,63.50877192982456
seq341,163,66.87116564417178
seq342,123,52.84552845528455
seq343,288,43.40277777777778
seq345,161,62.11180124223602
seq346,143,48.25174825174825
seq347,298,26.845637583892618
seq348,173,47.97687861271676
seq349,289,58.13148788927336
seq350,170,42.94117647058823
seq351,210,62.38095238095238
seq353,138,21.014492753623188
seq355,263,38.78326996197718
seq356,106,34.90566037735849
seq357,195,72.3076923076923
seq358,109,70.64220183486239
seq359,134,67.16417910447761
seq360,139,34.53237410071942
seq361,136,49.26470588235294
seq363,292,33.21917808219178
seq365,220,44.54545454545455
seq366,175,48.57142857142857
seq367,268,37.6865671641791
seq368,237,67.9324894514768
seq370,182,49.45054945054945
seq371,224,55.80357142857143
seq372,272,63.970588235294116
seq373,254,23.228346456692915
seq374,290,28.965517241379313
seq375,277,87.72563176895306
seq376,250,71.2
seq377,108,57.407407407407405
seq379,160,71.875
seq380,279,77.77777777777779
seq381,133,46.616541353383454
seq382,110,46.36363636363636
seq383,142,9.859154929577464
seq384,114,69.2982456140351
seq385,276,64.85507246376811
seq386,131,74.04580152671755
seq387,270,78.14814814814814
seq388,189,48.67724867724868
seq389,252,74.20634920634922
seq390,212,31.132075471698112
seq391,133,47.368421052631575
seq392,179,1.675977653631285
seq394,247,57.48987854251012
seq395,174,34.48275862068966
seq396,119,69.74789915966386
seq397,123,65.04065040650406
seq398,121,50.413223140495866
seq400,139,49.64028776978417
seq401,159,36.477987421383645
seq402,227,85.90308370044053
seq403,197,42.13197969543147
seq404,186,36.02150537634409
seq407,233,58.36909871244635
seq408,220,34.54545454545455
seq409,212,55.660377358490564
seq410,115,13.91304347826087
seq412,142,27.464788732394368
seq413,234,78.63247863247864
seq415,132,51.515151515151516
seq417,165,38.78787878787879
seq420,259,69.1119691119691
seq421,193,32.12435233160622
seq423,271,5.904059040590406
seq425,190,42.10526315789473
seq426,298,40.26845637583892
seq427,137,87.59124087591242
seq428,185,45.94594594594595
seq429,155,47.74193548387097
seq430,270,50.37037037037037
seq431,127,28.346456692913385
seq432,134,53.73134328358209
seq433,219,62.10045662100456
seq434,298,48.322147651006716
seq435,156,69.23076923076923
seq436,180,36.11111111111111
seq437,175,51.42857142857142
seq440,265,5.283018867924529
seq441,296,34.7972972972973
seq442,270,23.333333333333332
seq443,140,54.285714285714285
seq444,193,25.906735751295333
seq447,138,60.86956521739131
seq449,227,49.77973568281938
seq450,249,63.05220883534136
seq451,232,7.327586206896551
seq452,165,10.909090909090908
seq454,269,88.47583643122677
seq455,287,22.64808362369338
seq457,273,79.85347985347985
seq458,282,26.95035460992908
seq460,186,56.451612903225815
seq461,204,30.392156862745097
seq464,220,29.09090909090909
seq465,230,56.95652173913044
seq466,284,54.22535211267606
seq468,285,30.175438596491226
seq469,285,44.56140350877193
seq470,102,74.50980392156863
seq471,128,86.71875
seq472,281,52.66903914590747
seq473,277,57.761732851985556
seq474,109,45.87155963302752
seq475,215,13.953488372093023
seq476,299,62.87625418060201
seq477,233,22.317596566523605
seq480,119,57.14285714285714
seq481,233,55.793991416309005
seq482,273,1.8315018315018317
seq483,135,82.96296296296296
seq484,177,48.58757062146893
seq485,258,14.728682170542637
seq487,177,34.463276836158194
seq488,141,50.35460992907801
seq489,281,64.05693950177937
seq493,164,60.97560975609756
seq494,281,42.34875444839858
seq496,192,43.22916666666667
seq497,237,49.789029535864984
seq498,132,34.090909090909086
seq499,167,41.91616766467065
seq500,202,27.722772277227726
seq501,177,54.80225988700565
seq502,156,62.17948717948718
seq504,221,61.990950226244344
seq506,276,86.95652173913044
seq507,195,63.07692307692307
seq508,231,32.900432900432904
seq509,187,22.459893048128343
seq510,188,42.02127659574468
seq511,147,57.82312925170068
seq513,120,55.833333333333336
seq514,254,42.51968503937008
seq516,252,8.333333333333332
seq517,279,53.40501792114696
seq518,282,62.76595744680851
seq519,291,82.4742268041237
seq520,164,39.02439024390244
seq521,272,51.470588235294116
seq522,290,44.13793103448276
seq523,288,63.19444444444444
seq525,139,45.32374100719424
seq526,265,51.698113207547166
seq527,214,40.654205607476634
seq529,298,66.10738255033557
seq530,185,60.54054054054055
seq531,286,52.7972027972028
seq532,190,82.10526315789474
seq533,200,71.5
seq535,202,96.03960396039604
seq536,206,87.37864077669903
seq538,281,19.9288256227758
seq540,174,28.735632183908045
seq542,286,77.62237762237763
seq543,225,30.666666666666664
seq544,238,20.588235294117645
seq545,119,44.537815126050425
seq547,274,82.84671532846716
seq548,156,26.923076923076923
seq549,194,51.03092783505154
seq550,136,27.941176470588236
seq551,229,65.50218340611353
seq553,233,20.171673819742487
seq554,208,50.96153846153846
seq555,220,80.9090909090909
seq556,253,38.73517786561265
seq557,185,80.54054054054053
seq558,108,50.0
seq560,143,95.8041958041958
seq561,277,41.51624548736462
seq562,184,8.152173913043478
seq563,153,77.77777777777779
seq564,286,66.43356643356644
seq565,184,74.45652173913044
seq566,210,37.61904761904762
seq567,258,45.73643410852713
seq568,136,38.23529411764706
seq569,276,23.91304347826087
seq570,294,59.183673469387756
seq571,276,21.3768115942029
seq572,201,45.27363184079602
seq574,186,59.13978494623656
seq576,264,56.060606060606055
seq577,157,49.681528662420384
seq580,211,44.07582938388626
seq581,104,58.65384615384615
seq582,289,38.4083044982699
seq584,126,50.79365079365079
seq585,144,67.36111111111111
seq586,265,67.16981132075472
seq588,286,67.48251748251748
seq589,273,15.75091575091575
seq591,299,71.90635451505017
seq592,120,48.333333333333336
seq593,152,32.23684210526316
seq595,224,67.41071428571429
seq597,158,41.77215189873418
seq598,211,61.61137440758294
seq599,228,52.63157894736842
seq600,208,31.25
seq601,270,45.18518518518518
seq602,132,59.84848484848485
seq605,159,40.25157232704403
seq606,167,58.08383233532935
seq609,152,7.894736842105263
seq610,177,17.51412429378531
seq611,216,26.38888888888889
seq615,214,46.728971962616825
seq617,213,17.370892018779344
seq618,227,18.06167400881057
seq619,198,58.58585858585859
seq620,285,49.122807017543856
seq621,207,26.08695652173913
seq622,266,44.73684210526316
seq624,194,54.63917525773196
seq625,132,16.666666666666664
seq626,261,65.90038314176245
seq627,274,38.68613138686132
seq628,105,51.42857142857142
seq629,269,31.970260223048324
seq630,271,48.708487084870846
seq631,289,62.28373702422145
seq632,134,26.865671641791046
seq633,286,65.73426573426573
seq634,168,59.523809523809526
seq635,261,81.60919540229885
seq637,228,61.40350877192983
seq638,247,48.178137651821864
seq639,226,34.51327433628318
seq640,278,58.63309352517986
seq641,104,25.961538461538463
seq642,106,65.09433962264151
seq643,294,60.544217687074834
seq644,239,31.380753138075313
seq645,264,70.07575757575758
seq646,113,52.21238938053098
seq649,111,62.16216216216216
seq650,211,54.976303317535546
seq653,135,65.18518518518519
seq654,203,47.29064039408867
seq655,232,21.551724137931032
seq656,124,75.0
seq657,297,75.75757575757575
seq658,148,60.810810810810814
seq659,171,60.81871345029239
seq660,294,44.5578231292517
seq663,142,47.88732394366197
seq664,279,21.50537634408602
seq665,197,41.62436548223351
seq666,244,36.885245901639344
seq667,168,25.595238095238095
seq669,222,35.13513513513514
seq670,137,60.58394160583942
seq672,256,87.890625
seq674,136,75.73529411764706
seq675,241,16.59751037344398
seq676,200,68.5
seq677,109,11.009174311926607
seq679,112,24.107142857142858
seq680,130,41.53846153846154
seq681,194,74.22680412371135
seq683,188,51.06382978723404
seq684,142,10.56338028169014
seq686,201,58.70646766169154
seq689,175,66.28571428571428
seq690,186,60.215053763440864
seq691,212,28.30188679245283
seq692,208,56.25
seq693,194,80.9278350515464
seq694,267,58.80149812734082
seq696,178,73.59550561797754
seq697,295,14.915254237288137
seq698,237,51.0548523206751
seq699,145,42.758620689655174
seq700,115,5.217391304347826
seq701,156,57.05128205128205
seq702,239,48.95397489539749
seq703,126,40.476190476190474
seq704,165,50.90909090909091
seq705,125,5.6000000000000005
seq708,239,3.765690376569038
seq709,270,54.074074074074076
seq710,118,70.33898305084746
seq711,169,51.4792899408284
seq712,105,27.61904761904762
seq713,142,56.33802816901409
seq715,127,35.43307086614173
seq716,154,60.3896103896104
seq717,269,68.77323420074349
seq718,104,84.61538461538461
seq719,196,49.48979591836735
seq720,285,63.1578947368421
seq721,112,86.60714285714286
seq722,259,53.66795366795367
seq723,270,54.81481481481482
seq724,183,47.540983606557376
seq725,224,79.91071428571429
seq726,297,67.34006734006735
seq728,181,54.69613259668509
seq729,285,47.719298245614034
seq730,118,61.016949152542374
seq732,127,15.748031496062993
seq733,162,41.9753086419753
seq734,266,40.97744360902256
seq735,267,40.44943820224719
seq736,110,19.090909090909093
seq737,101,45.54455445544555
seq738,224,67.41071428571429
seq739,284,93.66197183098592
seq740,212,68.39622641509435
seq741,110,40.909090909090914
seq744,298,30.87248322147651
seq746,202,11.881188118811881
seq748,141,59.57446808510638
seq749,260,25.384615384615383
seq750,149,53.691275167785236
seq751,244,19.262295081967213
seq752,123,43.08943089430895
seq753,202,34.15841584158416
seq754,220,60.909090909090914
seq755,164,41.46341463414634
seq756,237,39.66244725738397
seq757,287,51.91637630662021
seq758,213,44.13145539906103
seq760,231,59.307359307359306
seq761,190,38.94736842105263
seq762,283,33.56890459363957
seq763,150,38.666666666666664
seq764,242,71.900826446281
seq765,173,65.3179190751445
seq766,198,75.25252525252525
seq768,138,52.89855072463768
seq769,206,54.36893203883495
seq771,146,61.64383561643836
seq772,278,46.043165467625904
seq773,294,41.49659863945578
seq774,148,21.62162162162162
seq776,213,48.82629107981221
seq778,233,42.91845493562232
seq779,232,44.827586206896555
seq780,106,46.22641509433962
seq781,204,44.6078431372549
seq782,241,66.80497925311202
seq783,285,23.859649122807017
seq785,299,35.785953177257525
seq786,193,67.87564766839378
seq787,158,21.518987341772153
seq788,220,38.18181818181819
seq789,299,26.08695652173913
seq790,178,48.31460674157304
seq793,200,88.0
seq794,276,47.82608695652174
seq795,229,42.35807860262008
seq796,149,35.57046979865772
seq797,139,46.043165467625904
seq798,228,65.35087719298247
seq799,113,25.663716814159294
seq800,155,12.903225806451612
seq802,191,23.036649214659686
seq803,204,42.64705882352941
seq804,296,32.77027027027027
seq805,272,73.16176470588235
seq806,189,57.67195767195767
seq807,143,69.93006993006993
seq808,272,59.92647058823529
seq809,186,32.795698924731184
seq810,189,41.269841269841265
seq811,159,30.18867924528302
seq813,130,23.846153846153847
seq814,278,29.136690647482016
seq815,168,70.83333333333334
seq817,222,70.72072072072072
seq818,207,46.3768115942029
seq819,108,63.888888888888886
seq820,104,16.346153846153847
seq821,192,62.5
seq822,171,47.953216374269005
seq823,117,50.427350427350426
seq824,173,32.947976878612714
seq825,216,75.92592592592592
seq827,215,63.72093023255814
seq828,275,8.0
seq829,195,26.153846153846157
seq830,237,37.552742616033754
seq832,227,77.5330396475771
seq833,162,77.77777777777779
seq834,206,57.28155339805825
seq835,194,61.34020618556701
seq837,184,52.17391304347826
seq838,287,31.010452961672474
seq839,279,49.82078853046595
seq840,188,60.63829787234043
seq843,104,44.230769230769226
seq844,255,20.392156862745097
seq846,277,56.678700361010826
seq847,132,64.39393939393939
seq848,164,45.1219512195122
seq849,289,32.8719723183391
seq851,132,72.72727272727273
seq852,108,22.22222222222222
seq853,178,5.056179775280898
seq854,279,5.017921146953405
seq856,246,47.15447154471545
seq857,129,60.46511627906976
seq858,210,28.095238095238095
seq859,272,75.73529411764706
seq860,246,31.300813008130078
seq861,214,44.85981308411215
seq862,298,44.29530201342282
seq863,284,46.12676056338028
seq864,181,49.72375690607735
seq865,184,43.47826086956522
seq866,288,54.513888888888886
seq867,255,74.11764705882354
seq868,209,19.138755980861244
seq869,263,64.63878326996198
seq870,288,75.34722222222221
seq873,224,58.48214285714286
seq874,113,49.557522123893804
seq876,136,38.970588235294116
seq877,264,72.72727272727273
seq878,141,90.78014184397163
seq879,189,38.095238095238095
seq880,294,16.3265306122449
seq881,127,28.346456692913385
seq882,192,44.27083333333333
seq883,237,75.10548523206751
seq884,157,69.42675159235668
seq885,108,15.74074074074074
seq887,280,50.357142857142854
seq888,186,40.86021505376344
seq889,180,23.88888888888889
seq890,110,78.18181818181819
seq891,118,64.40677966101694
seq892,194,11.34020618556701
seq893,214,84.57943925233646
seq894,102,48.03921568627451
seq895,201,87.56218905472637
seq896,152,53.94736842105263
seq897,189,68.78306878306879
seq899,277,70.03610108303249
seq900,192,50.520833333333336
seq901,277,59.92779783393502
seq902,157,20.382165605095544
seq903,262,52.67175572519084
seq904,264,44.31818181818182
seq905,184,45.108695652173914
seq906,186,48.924731182795696
seq907,222,19.36936936936937
seq912,192,28.125
seq913,110,67.27272727272727
seq914,123,68.29268292682927
seq915,143,26.573426573426573
seq916,259,47.10424710424711
seq917,118,30.508474576271187
seq918,134,43.28358208955223
seq919,237,50.210970464135016
seq920,265,63.77358490566037
seq921,188,65.42553191489363
seq923,122,55.73770491803278
seq925,279,49.10394265232975
seq926,253,19.76284584980237
seq928,234,48.29059829059829
seq930,109,64.22018348623854
seq933,107,19.626168224299064
seq934,114,72.80701754385966
seq935,255,9.803921568627452
seq936,117,30.76923076923077
seq937,177,54.23728813559322
seq938,176,38.06818181818182
seq940,205,51.707317073170735
seq941,210,80.0
seq943,174,17.24137931034483
seq944,273,41.75824175824176
seq945,259,27.413127413127413
seq946,158,82.27848101265823
seq947,232,19.82758620689655
seq948,293,70.98976109215018
seq949,167,48.50299401197605
seq950,274,22.99270072992701
seq951,252,31.349206349206348
seq952,150,26.0
seq953,129,20.930232558139537
seq954,151,19.867549668874172
seq955,226,49.557522123893804
seq956,217,19.81566820276498
seq958,262,54.58015267175572
seq959,144,65.27777777777779
seq961,287,46.34146341463415
seq962,225,56.888888888888886
seq963,212,34.90566037735849
seq964,145,53.79310344827586
seq966,247,56.2753036437247
seq967,222,49.549549549549546
seq968,118,69.49152542372882
seq969,257,35.019455252918284
seq970,171,54.385964912280706
seq971,172,75.0
seq972,226,60.61946902654868
seq973,148,37.16216216216216
seq974,131,67.17557251908397
seq976,124,23.387096774193548
seq977,202,63.86138613861386
seq978,236,80.08474576271186
seq979,265,55.471698113207545
seq980,274,9.48905109489051
seq981,182,64.28571428571429
seq982,109,14.678899082568808
seq984,121,50.413223140495866
seq985,285,54.03508771929825
seq986,138,25.36231884057971
seq987,222,67.56756756756756
seq989,120,50.83333333333333
seq991,258,35.65891472868217
seq992,165,58.18181818181818
seq993,167,47.30538922155689
seq994,101,43.56435643564357
seq995,298,72.14765100671141
seq997,133,54.13533834586466
seq998,179,33.5195530726257
seq999,263,52.851711026615966
seq1000,151,43.04635761589404
seq1002,223,65.91928251121077
seq1004,136,50.0
seq1007,256,44.53125
seq1008,208,60.09615384615385
seq1010,166,68.67469879518072
seq1013,261,65.90038314176245
seq1015,273,42.857142857142854
seq1016,201,55.223880597014926
seq1018,288,71.18055555555556
seq1019,198,63.63636363636363
seq1020,262,38.93129770992366
seq1021,177,19.774011299435028
seq1022,265,69.43396226415094
seq1023,225,57.333333333333336
seq1024,255,47.45098039215686
seq1026,176,83.52272727272727
seq1027,123,39.83739837398374
seq1028,124,66.93548387096774
seq1030,139,18.705035971223023
seq1031,161,37.88819875776397
seq1032,102,31.372549019607842
seq1033,213,85.91549295774648
seq1035,200,28.000000000000004
seq1036,144,42.36111111111111
seq1038,198,22.22222222222222
seq1040,124,17.741935483870968
seq1042,213,53.051643192488264
seq1044,239,46.44351464435147
seq1045,141,67.37588652482269
seq1046,229,51.52838427947598
seq1047,131,83.20610687022901
seq1049,251,82.07171314741036
seq1051,183,32.240437158469945
seq1053,183,60.10928961748634
seq1054,291,66.32302405498281
seq1055,110,57.27272727272727
seq1056,285,24.561403508771928
seq1057,111,49.549549549549546
seq1058,237,43.459915611814345
seq1059,293,40.61433447098976
seq1060,111,20.72072072072072
seq1061,258,30.620155038759687
seq1063,203,40.39408866995074
seq1065,214,70.56074766355141
seq1066,179,73.18435754189943
seq1068,138,58.69565217391305
seq1070,135,42.22222222222222
seq1072,298,74.16107382550335
seq1073,143,65.03496503496503
seq1074,133,18.796992481203006
seq1075,177,58.19209039548022
seq1076,126,69.04761904761905
seq1077,130,38.46153846153847
seq1078,203,66.00985221674877
seq1080,187,55.61497326203209
seq1081,150,66.0
seq1082,299,36.45484949832776
seq1083,104,4.807692307692308
seq1084,190,75.26315789473685
seq1085,259,28.957528957528954
seq1086,222,24.774774774774773
seq1087,144,34.02777777777778
seq1091,286,50.6993006993007
seq1092,128,18.75
seq1093,175,56.00000000000001
seq1094,274,71.8978102189781
seq1095,264,41.28787878787879
seq1097,204,25.49019607843137
seq1098,112,33.92857142857143
seq1099,225,52.44444444444445
seq1100,184,83.15217391304348
seq1101,201,54.22885572139303
seq1102,103,60.19417475728155
seq1103,188,62.23404255319149
seq1104,174,28.160919540229884
seq1105,256,46.484375
seq1106,296,57.770270270270274
seq1107,253,57.70750988142292
seq1108,235,37.02127659574468
seq1109,272,14.338235294117647
seq1110,228,9.649122807017543
seq1112,199,19.597989949748744
seq1114,285,25.6140350877193
seq1115,199,41.70854271356784
seq1117,192,52.604166666666664
seq1118,173,33.52601156069364
seq1119,156,70.51282051282051
seq1120,260,68.84615384615384
seq1123,108,36.11111111111111
seq1124,128,49.21875
seq1125,231,63.20346320346321
seq1127,208,75.0
seq1128,184,56.52173913043478
seq1132,222,73.87387387387388
seq1133,300,80.33333333333333
seq1134,288,87.5
seq1135,272,48.89705882352941
seq1136,266,90.6015037593985
seq1137,240,74.16666666666667
seq1138,270,58.14814814814815
seq1140,180,16.11111111111111
seq1142,259,86.48648648648648
seq1143,111,23.423423423423422
seq1147,115,86.08695652173914
seq1148,157,49.681528662420384
seq1150,260,48.84615384615385
seq1152,275,33.45454545454545
seq1154,200,56.49999999999999
seq1155,148,57.432432432432435
seq1156,227,85.46255506607929
seq1157,138,38.405797101449274
seq1158,245,31.428571428571427
seq1159,128,67.1875
seq1160,142,24.647887323943664
seq1162,233,48.927038626609445
seq1163,146,67.8082191780822
seq1165,191,63.35078534031413
seq1166,275,37.45454545454546
seq1168,134,61.19402985074627
seq1169,290,17.586206896551722
seq1170,233,61.37339055793991
seq1172,122,33.60655737704918
seq1173,112,48.214285714285715
seq1174,135,32.592592592592595
seq1175,174,56.896551724137936
seq1176,194,74.22680412371135
seq1177,149,65.77181208053692
seq1179,125,13.600000000000001
seq1181,183,68.30601092896174
seq1182,184,58.152173913043484
seq1184,119,50.42016806722689
seq1186,199,58.79396984924623
seq1187,166,36.74698795180723
seq1189,144,65.27777777777779
seq1190,262,51.908396946564885
seq1191,211,56.872037914691944
seq1192,184,55.97826086956522
seq1193,234,32.47863247863248
seq1195,285,32.98245614035088
seq1196,184,46.73913043478261
seq1198,300,43.0
seq1199,293,48.80546075085324
seq1200,252,57.936507936507944
seq1201,287,61.672473867595826
seq1202,250,17.599999999999998
seq1203,143,51.048951048951054
seq1204,126,73.80952380952381
seq1205,209,30.62200956937799
seq1208,295,61.694915254237294
seq1209,259,42.857142857142854
seq1212,296,28.716216216216218
seq1213,237,64.9789029535865
seq1214,193,61.6580310880829
seq1215,261,30.65134099616858
seq1217,288,38.54166666666667
seq1219,274,26.277372262773724
seq1220,198,28.78787878787879
seq1221,127,1.574803149606299
seq1222,119,62.18487394957983
seq1223,153,76.47058823529412
seq1224,250,43.6
seq1225,171,64.32748538011695
seq1226,184,61.95652173913043
seq1228,255,65.49019607843137
seq1230,254,53.937007874015755
seq1231,140,81.42857142857143
seq1232,238,27.310924369747898
seq1233,283,38.869257950530034
seq1234,191,49.21465968586388
seq1235,267,37.453183520599254
seq1236,279,35.483870967741936
seq1237,268,39.92537313432835
seq1238,288,67.01388888888889
seq1240,151,32.450331125827816
seq1241,292,42.465753424657535
seq1243,208,92.3076923076923
seq1245,198,71.21212121212122
seq1246,144,51.388888888888886
seq1247,290,41.03448275862069
seq1248,123,54.47154471544715
seq1249,285,3.1578947368421053
seq1250,126,25.396825396825395
seq1252,191,77.4869109947644
seq1255,242,22.727272727272727
seq1256,187,67.9144385026738
seq1259,216,78.24074074074075
seq1260,167,55.08982035928144
seq1263,259,71.04247104247105
seq1264,251,32.669322709163346
seq1265,268,81.71641791044776
seq1266,215,43.72093023255814
seq1267,128,21.875
seq1268,153,55.55555555555556
seq1270,266,49.24812030075188
